"Nom";"Version";"Editeur";"Date";"Taille";"Source";"Categorie"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.50.35719";"14.50.35719";"Microsoft Corporation";"23/03/2026";"10,1";"Registre";"main"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.50.35719";"14.50.35719";"Microsoft Corporation";"23/03/2026";"2";"Registre";"main"
"Microsoft Visual C++ v14 Redistributable (x64) - 14.50.35719";"14.50.35719.0";"Microsoft Corporation";"-";"20,7";"Registre";"composant"
"Microsoft Visual C++ v14 Redistributable (x86) - 14.50.35719";"14.50.35719.0";"Microsoft Corporation";"-";"18,2";"Registre";"composant"
"Microsoft VSS Writer for SQL Server 2014";"12.2.5000.0";"Microsoft Corporation";"23/03/2026";"3,5";"Registre";"main"
"Microsoft Windows Desktop Runtime - 3.1.10 (x64)";"24.104.29419";"Microsoft Corporation";"06/03/2026";"83,8";"Registre";"main"
"Microsoft Windows Desktop Runtime - 3.1.10 (x86)";"24.104.29419";"Microsoft Corporation";"06/03/2026";"77,8";"Registre";"main"
"Microsoft Windows Desktop Runtime - 8.0.21 (x64)";"64.84.40919";"Microsoft Corporation";"23/03/2026";"89,9";"Registre";"main"
"Microsoft Windows Desktop Runtime - 8.0.25 (x64)";"64.100.48707";"Microsoft Corporation";"11/03/2026";"89,8";"Registre";"main"
"Microsoft.ApplicationCompatibilityEnhancements";"1.2511.9.0";;"-";"0";"AppX";"main"
"Microsoft.AV1VideoExtension";"2.0.7.0";;"-";"0";"AppX";"main"
"Microsoft.AVCEncoderVideoExtension";"1.1.23.0";;"-";"0";"AppX";"main"
"Microsoft.DesktopAppInstaller";"1.28.219.0";;"-";"0";"AppX";"main"
"Microsoft.Edge.GameAssist";"1.0.3590.0";;"-";"0";"AppX";"main"
"Microsoft.GetHelp";"10.2409.33293.0";;"-";"0";"AppX";"main"
"Microsoft.HEIFImageExtension";"1.2.29.0";;"-";"0";"AppX";"main"
"Microsoft.HEVCVideoExtension";"2.4.43.0";;"-";"0";"AppX";"main"
"Microsoft.LanguageExperiencePackfr-FR";"26100.153.253.0";;"-";"0";"AppX";"main"
"Microsoft.MicrosoftEdge.Stable";"145.0.3800.82";;"-";"0";"AppX";"main"
"Microsoft.MPEG2VideoExtension";"1.2.13.0";;"-";"0";"AppX";"main"
